city,neighbourhood,latitude,longitude
Rio de Janeiro,Abolição,-22.8861614,-43.2998457
Rio de Janeiro,Acari,-22.8221528,-43.3406743
Rio de Janeiro,Água Santa,-22.9111428,-43.3121258
Rio de Janeiro,Alto da Boa Vista,-22.9621126,-43.2535816
Rio de Janeiro,Anchieta,-22.8231903,-43.3991069
Rio de Janeiro,Andaraí,-22.9290845,-43.2534858
Rio de Janeiro,Anil,-22.9558133,-43.3384123
Rio de Janeiro,Araújo Cosmos,,
Rio de Janeiro,Baía Guanabara,,
Rio de Janeiro,Bancários,-22.7917588,-43.180966
Rio de Janeiro,Bangu,-22.8753053,-43.4648805
Rio de Janeiro,Barra da Tijuca,-22.9997404,-43.3659929
Rio de Janeiro,Barra de Guaratiba,-23.0360036,-43.5521395
Rio de Janeiro,Barra Guaratiba,,
Rio de Janeiro,Barros Filho,-22.8348857,-43.3631878
Rio de Janeiro,Benfica,-22.8922965,-43.240341
Rio de Janeiro,Bento Ribeiro,-22.8666607,-43.3608367
Rio de Janeiro,Bonsucesso,-22.8659317,-43.253318
Rio de Janeiro,Botafogo,-22.948844649999998,-43.17982909625297
Rio de Janeiro,Braz de Pina,,
Rio de Janeiro,Braz Pina,,
Rio de Janeiro,Cachambi,-22.8897634,-43.2744953
Rio de Janeiro,Cacuia,-22.8217028,-43.1837917
Rio de Janeiro,Caju,-22.8803063,-43.2214936
Rio de Janeiro,Camorim,-22.9711394,-43.4311836
Rio de Janeiro,Campinho,-22.8852187,-43.347738
Rio de Janeiro,Campo dos Afonsos,-22.8795186,-43.3803636
Rio de Janeiro,Campo Grande,-22.902953,-43.5591295
Rio de Janeiro,Cascadura,-22.8841816,-43.3283969
Rio de Janeiro,Catete,-22.9269199,-43.1802186
Rio de Janeiro,Catumbi,-22.9194542,-43.1970806
Rio de Janeiro,Cavalcanti,-22.8705266,-43.3165261
Rio de Janeiro,Centro,-22.9110137,-43.2093727
Rio de Janeiro,Cidade de Deus,-22.94803,-43.362903
Rio de Janeiro,Cidade Deus,,
Rio de Janeiro,Cidade Nova,-22.9100508,-43.201756
Rio de Janeiro,Cidade Universitária,-22.8558233,-43.2309583
Rio de Janeiro,Cocota,-22.8050047,-43.1805463
Rio de Janeiro,Coelho Neto,-22.8322449,-43.3501913
Rio de Janeiro,Colégio,-22.27378435,-42.53593527004949
Rio de Janeiro,Copacabana,-22.9719642,-43.1843432
Rio de Janeiro,Cordovil,-22.8194378,-43.2915908
Rio de Janeiro,Cosme Velho,-22.9415143,-43.2006244
Rio de Janeiro,Cosmos,-22.9078051,-43.6144915
Rio de Janeiro,Costa Barros,-22.8246995,-43.3698395
Rio de Janeiro,Curicica,-22.9519909,-43.3872901
Rio de Janeiro,Curral Falso,-22.93656115,-43.66694059999999
Rio de Janeiro,Delegado Castilho,,
Rio de Janeiro,Dendê,,
Rio de Janeiro,Deodoro,-22.851201,-43.3870315
Rio de Janeiro,Dumas,,
Rio de Janeiro,Encantado,-22.8974743,-43.3042461
Rio de Janeiro,Engenheiro Leal,-22.8743923,-43.3255315
Rio de Janeiro,Engenho da Rainha,-22.8626496,-43.2937874
Rio de Janeiro,Engenho de Dentro,-22.9026591,-43.2967757
Rio de Janeiro,Engenho Dentro,,
Rio de Janeiro,Engenho Novo,-22.9090942,-43.2678381
Rio de Janeiro,Estácio,-22.9166265,-43.20363
Rio de Janeiro,Flamengo,-22.9339841,-43.1745744
Rio de Janeiro,Freguesia,,
Rio de Janeiro,Freguesia - Ilha Governador,,
Rio de Janeiro,Freguesia - Jacarepaguá,-22.9408899,-43.3422564
Rio de Janeiro,Freguesia Jacarepaguá,-22.9408899,-43.3422564
Rio de Janeiro,Galeão,-22.8075065,-43.2355215
Rio de Janeiro,Gamboa,-22.8977491,-43.1929041
Rio de Janeiro,Gardênia Azul,-22.9582866,-43.3512241
Rio de Janeiro,Gávea,-22.9814243,-43.2383245
Rio de Janeiro,Glória,-22.9183225,-43.1739232
Rio de Janeiro,Grajaú,-22.9298842,-43.2695499
Rio de Janeiro,Grumari,-23.0470388,-43.5334787
Rio de Janeiro,Guadalupe,-22.8376208,-43.3751608
Rio de Janeiro,Guarabu,-22.8088833,-43.1941802
Rio de Janeiro,Guaratiba,-22.9905839,-43.584923
Rio de Janeiro,Higienópolis,-22.873999,-43.2613682
Rio de Janeiro,Honório Gurgel,-22.8465751,-43.3561294
Rio de Janeiro,Humaitá,-22.9546413,-43.2004797
Rio de Janeiro,Inhaúma,-22.8715476,-43.2823466
Rio de Janeiro,Inhoaíba,-22.9131775,-43.5932975
Rio de Janeiro,Ipanema,-22.9839557,-43.2022163
Rio de Janeiro,Irajá,-22.8351129,-43.3233619
Rio de Janeiro,Itacolomi,,
Rio de Janeiro,Itanhangá,-22.9870911,-43.3049379
Rio de Janeiro,Jacaré,-22.8931174,-43.2571998
Rio de Janeiro,Jacarepaguá,-22.9665038,-43.3713193
Rio de Janeiro,Jacarezinho,-22.8875068,-43.2578789
Rio de Janeiro,Jardim América,-22.810005,-43.323212
Rio de Janeiro,Jardim Botânico,-22.968384550000003,-43.22869449858106
Rio de Janeiro,Jardim Carioca,-22.8052493,-43.1931949
Rio de Janeiro,Jardim Guanabara,-22.8128362,-43.2007792
Rio de Janeiro,Jardim Sulacap,-22.8956799,-43.3929967
Rio de Janeiro,Joa,-23.0077797,-43.2872344
Rio de Janeiro,Lagoa,-22.9624658,-43.2024884
Rio de Janeiro,Laranjeiras,-22.9343173,-43.1878165
Rio de Janeiro,Leblon,-22.983556,-43.2249377
Rio de Janeiro,Leme,-22.961704,-43.1669042
Rio de Janeiro,Lins de Vasconcelos,-22.9140512,-43.2843528
Rio de Janeiro,Lins Vasconcelos,,
Rio de Janeiro,Loteamento Madean,,
Rio de Janeiro,Madureira,-22.871658,-43.3371976
